,Unnamed: 0,original_video_name,hash_video_name,content,fps,codec,resolution,bitrate,begin_time
543,543,TNFF_AVC_HFR_540p_1300K_114.y4m,190365012366979656454132498470780101623.y4m,TNFF,59.94,AVC,960x540,1300K,114
544,544,TNFF_AVC_SFR_396p_800K_114.y4m,2546278370679339073432304207069231295.y4m,TNFF,29.97,AVC,704x396,800K,114
545,545,TNFF_AVC_HFR_540p_1900K_114.y4m,310419446449857416010013339752429725744.y4m,TNFF,59.94,AVC,960x540,1900K,114
546,546,TNFF_AVC_HFR_720p_2200K_114.y4m,269394577965119527159336015356079815316.y4m,TNFF,59.94,AVC,1280x720,2200K,114
547,547,TNFF_AVC_SFR_540p_1200K_114.y4m,36412715696825456556034122310513222700.y4m,TNFF,29.97,AVC,960x540,1200K,114
548,548,TNFF_AVC_SFR_540p_1800K_114.y4m,175516287637091052506508211159509309754.y4m,TNFF,29.97,AVC,960x540,1800K,114
549,549,TNFF_AVC_SFR_720p_2000K_114.y4m,64603442816668433060679809072867953630.y4m,TNFF,29.97,AVC,1280x720,2000K,114
550,550,TNFF_HEVC_HFR_720p_2200K_114.y4m,87839485779271216445202730536435988378.y4m,TNFF,59.94,HEVC,1280x720,2200K,114
551,551,TNFF_HEVC_SFR_720p_2200K_114.y4m,103165455535877690394915677324461195961.y4m,TNFF,29.97,HEVC,1280x720,2200K,114
552,552,TNFF_HEVC_SFR_288p_300K_336.y4m,237965441458061562311070144630793167422.y4m,TNFF,29.97,HEVC,512x288,300K,336
553,553,TNFF_HEVC_SFR_396p_600K_336.y4m,336090114639772445954501615468713346096.y4m,TNFF,29.97,HEVC,704x396,600K,336
554,554,TNFF_HEVC_SFR_396p_900K_336.y4m,29779896476783122462088642806426821774.y4m,TNFF,29.97,HEVC,704x396,900K,336
555,555,TNFF_HEVC_SFR_540p_1100K_336.y4m,205198153170075647012239825239856920659.y4m,TNFF,29.97,HEVC,960x540,1100K,336
556,556,TNFF_HEVC_SFR_540p_1900K_336.y4m,292033643911996880734262934434551056101.y4m,TNFF,29.97,HEVC,960x540,1900K,336
557,557,TNFF_HEVC_HFR_288p_300K_336.y4m,328781397848890973058035010279676454301.y4m,TNFF,59.94,HEVC,512x288,300K,336
558,558,TNFF_HEVC_HFR_396p_600K_336.y4m,102961901151714055558089906499044161553.y4m,TNFF,59.94,HEVC,704x396,600K,336
559,559,TNFF_HEVC_HFR_396p_900K_336.y4m,153050405360166514553631118497039609235.y4m,TNFF,59.94,HEVC,704x396,900K,336
560,560,TNFF_HEVC_HFR_540p_1100K_336.y4m,157646866748848411926233037978308819510.y4m,TNFF,59.94,HEVC,960x540,1100K,336
561,561,TNFF_HEVC_HFR_540p_1900K_336.y4m,53755681570883018306138697552094206313.y4m,TNFF,59.94,HEVC,960x540,1900K,336
562,562,TNFF_AVC_HFR_288p_300K_336.y4m,10848912313746145457494322165184879102.y4m,TNFF,59.94,AVC,512x288,300K,336
563,563,TNFF_AVC_HFR_396p_600K_336.y4m,163159164372564089090382037350759933307.y4m,TNFF,59.94,AVC,704x396,600K,336
564,564,TNFF_AVC_HFR_396p_900K_336.y4m,111417974468415403101959047871681718842.y4m,TNFF,59.94,AVC,704x396,900K,336
565,565,TNFF_AVC_SFR_288p_200K_336.y4m,68719954625705459975357308153361862900.y4m,TNFF,29.97,AVC,512x288,200K,336
566,566,TNFF_AVC_SFR_396p_400K_336.y4m,21037422858133599444925262503568737949.y4m,TNFF,29.97,AVC,704x396,400K,336
567,567,TNFF_AVC_HFR_540p_1300K_336.y4m,70995877606909272769456811630426316367.y4m,TNFF,59.94,AVC,960x540,1300K,336
568,568,TNFF_AVC_SFR_396p_800K_336.y4m,2008396797402152769789089352340100420.y4m,TNFF,29.97,AVC,704x396,800K,336
569,569,TNFF_AVC_HFR_540p_1900K_336.y4m,40136406511792161019380691910269715109.y4m,TNFF,59.94,AVC,960x540,1900K,336
570,570,TNFF_AVC_HFR_720p_2200K_336.y4m,166875973976945386319763925952773737155.y4m,TNFF,59.94,AVC,1280x720,2200K,336
571,571,TNFF_AVC_SFR_540p_1200K_336.y4m,44685461523926052336599012933706285674.y4m,TNFF,29.97,AVC,960x540,1200K,336
572,572,TNFF_AVC_SFR_540p_1800K_336.y4m,31625703094719778976666816858557135858.y4m,TNFF,29.97,AVC,960x540,1800K,336
573,573,TNFF_AVC_SFR_720p_2000K_336.y4m,24294184460133728457222896778124184845.y4m,TNFF,29.97,AVC,1280x720,2000K,336
574,574,TNFF_HEVC_HFR_720p_2200K_336.y4m,97028535677237218198132572271966525282.y4m,TNFF,59.94,HEVC,1280x720,2200K,336
575,575,TNFF_HEVC_SFR_720p_2200K_336.y4m,314446422751114344450704256155339077211.y4m,TNFF,29.97,HEVC,1280x720,2200K,336
595,595,USOpen_AVC_HFR_288p_300K_148.y4m,326805096269727285323477416091594478574.y4m,USOpen,50.0,AVC,512x288,300K,148
596,596,USOpen_AVC_HFR_396p_600K_148.y4m,300973113287332015333922295998807279335.y4m,USOpen,50.0,AVC,704x396,600K,148
597,597,USOpen_AVC_HFR_396p_900K_148.y4m,15303483749774896749156648851173316413.y4m,USOpen,50.0,AVC,704x396,900K,148
598,598,USOpen_AVC_HFR_540p_1300K_148.y4m,110754449286876928530812730254689416915.y4m,USOpen,50.0,AVC,960x540,1300K,148
599,599,USOpen_AVC_SFR_288p_200K_148.y4m,14241645553105461707877138042464368956.y4m,USOpen,25.0,AVC,512x288,200K,148
600,600,USOpen_AVC_SFR_396p_400K_148.y4m,53425767210309480360158768521346697999.y4m,USOpen,25.0,AVC,704x396,400K,148
601,601,USOpen_AVC_SFR_396p_800K_148.y4m,96388728961800304753469079739103365315.y4m,USOpen,25.0,AVC,704x396,800K,148
602,602,USOpen_AVC_SFR_540p_1200K_148.y4m,98038341804143720861114565061279000143.y4m,USOpen,25.0,AVC,960x540,1200K,148
