,Unnamed: 0,original_video_name,hash_video_name,content,fps,codec,resolution,bitrate,begin_time
702,702,Cricket2_AVC_SFR_540p_1800K_210.y4m,144860930196634716413950167521921760864.y4m,Cricket2,25.0,AVC,960x540,1800K,210
703,703,Cricket2_HEVC_HFR_396p_600K_210.y4m,292017929549968742556578882899889497380.y4m,Cricket2,50.0,HEVC,704x396,600K,210
704,704,Cricket2_AVC_SFR_720p_2000K_210.y4m,266068991366274837712486955654837862915.y4m,Cricket2,25.0,AVC,1280x720,2000K,210
705,705,Cricket2_HEVC_HFR_396p_900K_210.y4m,115112807969929642920484032723476893147.y4m,Cricket2,50.0,HEVC,704x396,900K,210
706,706,Cricket2_HEVC_SFR_288p_300K_210.y4m,59736687275987491423120871140450648000.y4m,Cricket2,25.0,HEVC,512x288,300K,210
707,707,Cricket2_HEVC_HFR_540p_1100K_210.y4m,126726564226517799517520979904088100701.y4m,Cricket2,50.0,HEVC,960x540,1100K,210
708,708,Cricket2_HEVC_SFR_396p_600K_210.y4m,32065684782842246154541198715142343516.y4m,Cricket2,25.0,HEVC,704x396,600K,210
709,709,Cricket2_HEVC_HFR_720p_2200K_210.y4m,301255993428580292147471557646720325980.y4m,Cricket2,50.0,HEVC,1280x720,2200K,210
710,710,Cricket2_HEVC_SFR_396p_900K_210.y4m,109081724158530434657251639424963799902.y4m,Cricket2,25.0,HEVC,704x396,900K,210
711,711,Cricket2_HEVC_HFR_540p_1900K_210.y4m,327898138839228813509254687908211505801.y4m,Cricket2,50.0,HEVC,960x540,1900K,210
