,Unnamed: 0,hash_name,score,first_session,video,raw_mos_zscore
54,54,180258876450600071489037058269732414212.y4m,2,True,EPLDay_AVC_SFR_396p_400K_0.y4m,12.580037
55,55,34525571221424433563914267200219502136.y4m,46,True,TNFF_AVC_HFR_396p_900K_16.y4m,54.065586
56,56,247782123912345390124696275053651320593.y4m,37,True,EPLDay_HEVC_SFR_540p_1100K_0.y4m,45.5799
57,57,182576609951173873291276967015820370223.y4m,47,True,USOpen_HEVC_HFR_540p_1100K_0.y4m,55.008434
58,58,257719836583319954961282471749337237918.y4m,51,True,TNFNFL_HEVC_SFR_540p_1900K_0.y4m,58.77985
59,59,313216493380300455888566308392342173261.y4m,36,True,EPLDay_AVC_HFR_396p_900K_8.y4m,44.637054
60,60,7693994079740634145821728873994765090.y4m,68,True,TNFNFL_SRC_SRC_SRC_SRC_0.y4m,74.80836
61,61,225222042209065316649653912024435216463.y4m,59,True,TNFF_HEVC_SFR_540p_1900K_16.y4m,66.32268
62,62,219868172228757137392660119532843249475.y4m,59,True,EPLDay_HEVC_SFR_720p_2200K_0.y4m,66.32268
63,63,267956806525482940188065099104244041648.y4m,37,True,TNFF_AVC_HFR_396p_600K_16.y4m,45.5799
64,64,128316308472564432805182547030482099890.y4m,41,True,USOpen_HEVC_HFR_396p_600K_166.y4m,49.35132
65,65,276407339827074707896189415897795030655.y4m,43,True,EPLDay_AVC_SFR_540p_1200K_8.y4m,51.237026
66,66,1547940232635734329014889938388036085.y4m,20,True,USOpen_AVC_SFR_288p_200K_166.y4m,29.5514
67,67,281074250574708777933368175675791041620.y4m,16,True,TNFNFL_HEVC_HFR_288p_300K_0.y4m,25.779984
68,68,105657986898668319663333618207597997163.y4m,32,True,TNFF_AVC_SFR_396p_400K_16.y4m,40.865635
69,69,15324870053611183598914739456546117526.y4m,27,True,TNFNFL_HEVC_HFR_396p_900K_0.y4m,36.15137
70,70,182157168317867125189351167444564526797.y4m,20,True,TNFF_HEVC_SFR_396p_600K_144.y4m,29.5514
71,71,244367845322658182868244074376419905577.y4m,27,True,USOpen_AVC_HFR_396p_900K_166.y4m,36.15137
72,72,337667658880335957916367300810436789849.y4m,18,True,EPLDay_AVC_SFR_720p_2000K_0.y4m,27.66569
73,73,334995483810535216847662955978339735665.y4m,12,True,EPLNight_AVC_SFR_288p_200K_0.y4m,22.008574
74,74,280860897073756743985315496535564113653.y4m,49,True,TNFF_HEVC_SFR_540p_1100K_16.y4m,56.894146
75,75,209129979875576685315713041037133837753.y4m,42,True,EPLNight_HEVC_SFR_540p_1100K_0.y4m,50.29417
76,76,94034036498422274354815851509622382539.y4m,43,True,EPLDay_AVC_SFR_540p_1800K_8.y4m,51.237026
77,77,81821650464797119233884171635691454890.y4m,1,True,EPLDay_AVC_SFR_288p_200K_0.y4m,11.637187
78,78,109127575612627929366188410917693732959.y4m,66,True,USOpen_AVC_HFR_540p_1300K_166.y4m,72.92265
79,79,171337782888492268057044536624888338517.y4m,33,True,EPLDay_HEVC_SFR_396p_900K_0.y4m,41.80849
80,80,72164772510459005647647743944967931829.y4m,46,True,Cricket1_AVC_HFR_540p_1900K_86.y4m,54.065586
81,81,113322231157512440684639196919729238573.y4m,45,True,EPLDay_AVC_HFR_540p_1300K_0.y4m,53.12273
82,82,313644340709534594306808168878359142918.y4m,42,True,EPLDay_HEVC_HFR_540p_1100K_8.y4m,50.29417
83,83,277364693454829038878994803394851189782.y4m,34,True,TNFNFL_AVC_SFR_396p_800K_0.y4m,42.751343
